amazon_product_url,author,description,publisher,title,oid,bestsellers_date.numberLong,published_date.numberLong,rank.numberInt,rank_last_week.numberInt,weeks_on_list.numberInt,price.numberDouble
http://www.amazon.com/The-Postcard-Killers-James-Patterson/dp/145550663X?tag=NYTBS-20,James Patterson and Liza Marklund,An N.Y.P.D. detective and a Swedish reporter search for the killer of young couples.,"Little, Brown",THE POSTCARD KILLERS,5b4aa4ead3089013507dbb1e,2010-09-26,2010-10-10,12,7,6,27.99
http://www.amazon.com/Warlord-New-Alex-Hawke-Novel/dp/0061859311?tag=NYTBS-20,Ted Bell,The counterspy Alex Hawke races to stop a madman from murdering the British royal family.,Morrow/HarperCollins,WARLORD,5b4aa4ead3089013507dbb1f,2010-09-26,2010-10-10,13,9,2,27.99
http://www.amazon.com/Lost-Empire-A-Fargo-Adventure/dp/0399156763?tag=NYTBS-20,Clive Cussler with Grant Blackwood,"Sam and Remi Fargo, a husband-and-wife treasure-hunting team, pursue an important relic.",Putnam,LOST EMPIRE,5b4aa4ead3089013507dbb20,2010-09-26,2010-10-10,14,11,4,27.95
http://www.amazon.com/No-Mercy-Dark-Hunters-Sherrilyn-Kenyon/dp/0312537921?tag=NYTBS-20,Sherrilyn Kenyon,Book 19 of the Dark-Hunter paranormal series.,St. Martin’s,NO MERCY,5b4aa4ead3089013507dbb22,2010-09-26,2010-10-10,16,8,3,24.99
http://www.amazon.com/Dont-Blink-James-Patterson/dp/1455506672?tag=NYTBS-20,James Patterson and Howard Roughan,"After a gruesome murder in a New York steak house, a reporter finds himself involved in a war between the Italian mob and the Russian mafia.",Little Brown,DON’T BLINK,5b4aa4ead3089013507dbb28,2010-10-03,2010-10-17,2,0,1,27.99
http://www.amazon.com/Safe-Haven-Nicholas-Sparks/dp/044654759X?tag=NYTBS-20,Nicholas Sparks,The arrival of a mysterious young woman in a small North Carolina town raises questions about her past.,Grand Central,SAFE HAVEN,5b4aa4ead3089013507dbb2a,2010-10-03,2010-10-17,4,2,3,25.99
http://www.amazon.com/Squirrel-Seeks-Chipmunk-Modest-Bestiary/dp/0316038393?tag=NYTBS-20,David Sedaris,The humorist looks at human nature through stories with animals as characters.,Little Brown,SQUIRREL SEEKS CHIPMUNK,5b4aa4ead3089013507dbb2b,2010-10-03,2010-10-17,5,0,1,21.99
http://www.amazon.com/Girl-Kicked-Hornets-Millennium-Trilogy/dp/030726999X?tag=NYTBS-20,Stieg Larsson,The third volume of a trilogy about a Swedish hacker and a journalist.,Knopf,THE GIRL WHO KICKED THE HORNET’S NEST,5b4aa4ead3089013507dbb2c,2010-10-03,2010-10-17,6,3,19,27.95
http://www.amazon.com/Naked-Heat-Nikki-Richard-Castle/dp/1401324029?tag=NYTBS-20,Richard Castle,Nikki Heat’s latest murder investigation is complicated by a reunion with the journalist Jameson Rook.,Hyperion,NAKED HEAT,5b4aa4ead3089013507dbb2d,2010-10-03,2010-10-17,7,0,1,24.99
http://www.amazon.com/Bad-Blood-Virgil-Flowers-novel/dp/0399156909?tag=NYTBS-20,John Sandford,Virgil Flowers is summoned to investigate a monstrous multigenerational conspiracy.,Putnam,BAD BLOOD,5b4aa4ead3089013507dbb2f,2010-10-03,2010-10-17,9,4,2,27.95
http://www.amazon.com/The-Help-Kathryn-Stockett/dp/0425232204?tag=NYTBS-20,Kathryn Stockett,A young white woman and two black maids in 1960s ­Mississippi.,Amy Einhorn/Putnam,THE HELP,5b4aa4ead3089013507dbb30,2010-10-03,2010-10-17,10,7,79,24.95
http://www.amazon.com/Wicked-Appetite-Janet-Evanovich/dp/0312383355?tag=NYTBS-20,Janet Evanovich,A dangerous man needs Elizabeth Tucker’s help to find an ancient power source.,St. Martin’s,WICKED APPETITE,5b4aa4ead3089013507dbb31,2010-10-03,2010-10-17,11,6,3,27.99
http://www.amazon.com/Room-A-Novel-Emma-Donoghue/dp/0316098329?tag=NYTBS-20,Emma Donoghue,A mother’s prison is her young son’s entire world.,"Little, Brown",ROOM,5b4aa4ead3089013507dbb32,2010-10-03,2010-10-17,12,9,3,24.99
http://www.amazon.com/Getting-Happy-Terry-McMillan/dp/0451233344?tag=NYTBS-20,Terry McMillan,"Revisiting the four women from “Waiting to Exhale,"" 15 years later.",Viking,GETTING TO HAPPY,5b4aa4ead3089013507dbb33,2010-10-03,2010-10-17,13,11,4,27.95
http://www.amazon.com/Call-Me-Mrs-Miracle-Bk/dp/0778328198?tag=NYTBS-20,Debbie Macomber,"Working in the toy section of a department store, Emily Merkle is called upon to engineer some Christmas miracles.",Mira,CALL ME MRS. MIRACLE,5b4aa4ead3089013507dbb34,2010-10-03,2010-10-17,14,0,1,16.95
