state,race,type,all_workers_n,artists_n,artists_share,location_quotient
Puerto Rico,African-American,Landscape Architects,1405,0,NA,0
Alabama,Asian,Landscape Architects,33515,0,NA,0
Alaska,Asian,Landscape Architects,26420,0,NA,0
Arizona,Asian,Landscape Architects,120580,0,NA,0
Arkansas,Asian,Landscape Architects,24295,0,NA,0
California,Asian,Landscape Architects,3008795,745,2.476074308817982e-4,1.0307077384003724
Colorado,Asian,Landscape Architects,97015,30,3.092305313611297e-4,1.2872242989174574
Connecticut,Asian,Landscape Architects,89425,0,NA,0
Delaware,Asian,Landscape Architects,19880,0,NA,0
District of Columbia,Asian,Landscape Architects,19090,0,NA,0
Florida,Asian,Landscape Architects,292825,25,8.537522410996328e-5,0.35538878556440734
Georgia,Asian,Landscape Architects,217095,0,NA,0
Hawaii,Asian,Landscape Architects,290190,100,3.446018126055343e-4,1.4344632293724473
Idaho,Asian,Landscape Architects,12030,0,NA,0
Illinois,Asian,Landscape Architects,378055,100,2.6451177738688814e-4,1.1010749349475353
Indiana,Asian,Landscape Architects,76575,0,NA,0
Iowa,Asian,Landscape Architects,40760,0,NA,0
Kansas,Asian,Landscape Architects,46470,0,NA,0
Kentucky,Asian,Landscape Architects,33565,0,NA,0
Louisiana,Asian,Landscape Architects,41430,0,NA,0
Maine,Asian,Landscape Architects,8235,0,NA,0
Maryland,Asian,Landscape Architects,213470,0,NA,0
Massachusetts,Asian,Landscape Architects,249930,85,3.400952266634658e-4,1.4157038044726598
Michigan,Asian,Landscape Architects,163870,0,NA,0
Minnesota,Asian,Landscape Architects,143550,0,NA,0
Mississippi,Asian,Landscape Architects,14850,0,NA,0
Missouri,Asian,Landscape Architects,63375,0,NA,0
Montana,Asian,Landscape Architects,4980,0,NA,0
Nebraska,Asian,Landscape Architects,24515,0,NA,0
Nevada,Asian,Landscape Architects,131920,0,NA,0
New Hampshire,Asian,Landscape Architects,20330,0,NA,0
New Jersey,Asian,Landscape Architects,450385,195,4.3296290951075193e-4,1.802281214597736
New Mexico,Asian,Landscape Architects,16455,0,NA,0
New York,Asian,Landscape Architects,864770,340,3.931681256287799e-4,1.6366287075261716
North Carolina,Asian,Landscape Architects,154710,70,4.524594402430353e-4,1.8834388156687565
North Dakota,Asian,Landscape Architects,6855,0,NA,0
Ohio,Asian,Landscape Architects,136125,0,NA,0
Oklahoma,Asian,Landscape Architects,44710,0,NA,0
Oregon,Asian,Landscape Architects,98010,35,3.571064177124783e-4,1.4865157594741012
Pennsylvania,Asian,Landscape Architects,227500,95,4.175824175824176e-4,1.738257320022026
Rhode Island,Asian,Landscape Architects,18645,0,NA,0
South Carolina,Asian,Landscape Architects,41915,0,NA,0
South Dakota,Asian,Landscape Architects,7135,0,NA,0
